frame,track_id,vehicle,confidence,center_x,center_y
85,327,car,0.454,631,540
85,116,car,0.558,516,542
85,277,car,0.61,443,536
85,337,car,0.717,732,557
85,370,car,0.773,848,561
85,316,car,0.398,436,403
86,327,car,0.533,629,527
86,116,car,0.536,519,538
86,277,car,0.627,443,536
86,337,car,0.651,730,556
86,382,car,0.571,821,542
87,116,car,0.579,521,535
87,277,car,0.551,443,536
87,337,car,0.67,731,554
88,277,car,0.631,443,536
88,337,car,0.682,731,555
88,387,car,0.624,639,563
88,158,car,0.447,748,444
88,376,car,0.531,525,527
89,277,car,0.585,444,536
89,337,car,0.749,728,553
89,394,car,0.604,783,508
89,395,car,0.317,436,411
89,376,car,0.484,522,522
89,327,car,0.708,627,533
90,277,car,0.647,444,535
90,337,car,0.754,716,544
90,394,car,0.601,780,504
90,395,car,0.377,436,411
90,376,car,0.642,524,513
90,327,car,0.755,625,516
91,277,car,0.644,444,536
91,394,car,0.71,779,501
91,395,car,0.329,435,410
91,376,car,0.663,526,500
91,327,car,0.671,640,520
91,402,car,0.668,542,439
92,277,car,0.619,444,536
92,394,car,0.632,778,501
92,395,car,0.384,435,410
92,402,car,0.729,530,447
92,259,car,0.594,622,696
93,277,car,0.689,444,536
93,394,car,0.684,777,501
93,395,car,0.376,435,408
93,259,car,0.69,623,692
94,277,car,0.639,443,536
94,394,car,0.331,772,498
94,259,car,0.694,623,690
94,316,car,0.351,435,401
95,277,car,0.493,443,537
95,394,car,0.711,760,486
95,259,car,0.716,623,689
95,428,car,0.677,849,692
95,436,car,0.54,876,424
95,395,car,0.333,435,404
96,277,car,0.698,442,536
96,259,car,0.726,623,689
96,428,car,0.708,849,692
96,436,car,0.523,876,426
96,437,car,0.66,728,325
96,440,car,0.349,443,383
96,27,car,0.609,313,558
96,158,car,0.694,741,443
97,277,car,0.713,442,536
97,259,car,0.726,623,689
97,428,car,0.713,849,692
97,436,car,0.447,875,429
97,437,car,0.491,730,323
97,27,car,0.543,314,558
97,316,car,0.408,435,405
98,277,car,0.722,442,536
98,259,car,0.73,623,689
98,428,car,0.726,849,691
98,436,car,0.44,874,425
98,27,car,0.668,317,557
98,316,car,0.392,435,404
98,440,car,0.315,442,383
99,277,car,0.734,442,536
99,259,car,0.728,623,689
99,428,car,0.723,849,691
99,27,car,0.682,317,557
99,316,car,0.398,435,402
99,437,car,0.58,728,323
100,277,car,0.704,443,536
100,259,car,0.736,623,689
100,428,car,0.714,849,691
100,27,car,0.337,318,557
100,316,car,0.362,435,401
100,437,car,0.571,728,324
100,436,car,0.412,876,421
101,277,car,0.719,442,536
101,259,car,0.74,623,689
101,428,car,0.723,849,691
101,27,car,0.51,319,557
101,316,car,0.335,435,401
101,437,car,0.6,728,324
101,436,car,0.594,876,425
102,277,car,0.575,441,536
102,259,car,0.773,623,689
102,428,car,0.637,849,691
102,27,truck,0.371,319,556
102,436,car,0.445,876,424
102,3,car,0.845,630,598
103,277,car,0.545,438,536
103,259,car,0.723,622,689
103,428,car,0.706,849,691
103,436,car,0.509,876,425
103,294,car,0.8,743,564
103,316,car,0.318,435,402
103,437,car,0.389,728,324
104,277,car,0.662,440,536
104,259,car,0.736,622,689
104,428,car,0.614,849,691
104,436,car,0.474,876,425
104,294,car,0.748,742,564
104,316,car,0.321,435,403
104,437,car,0.548,731,319
104,298,car,0.838,905,573
105,277,car,0.612,441,536
105,259,car,0.746,622,689
105,428,car,0.63,849,691
105,436,car,0.502,875,424
105,294,car,0.701,759,556
105,437,car,0.351,730,322
105,467,car,0.609,211,591
105,298,car,0.768,967,573
105,387,car,0.835,636,559
105,27,car,0.341,320,557
106,277,car,0.356,442,537
106,259,car,0.753,622,689
106,428,car,0.632,849,691
106,436,car,0.46,876,425
106,437,car,0.406,728,322
106,467,car,0.463,189,586
106,470,car,0.689,1039,687
106,3,car,0.748,630,581
107,277,car,0.591,442,536
107,259,car,0.78,622,689
107,428,car,0.673,849,691
107,437,car,0.367,727,319
107,467,car,0.599,192,592
107,470,car,0.682,1039,684
107,473,car,0.622,1229,595
107,316,car,0.332,436,401
107,387,car,0.812,630,561
108,277,car,0.655,442,536
108,259,car,0.736,621,689
108,428,car,0.639,849,691
108,470,car,0.667,1040,682
108,480,car,0.698,765,503
108,370,car,0.761,598,549
108,436,car,0.46,876,425
109,277,car,0.474,440,535
109,259,car,0.777,622,689
